GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,UserInfoController,0,33,0,2,0,6,0,6,0,5
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,LootBoxController,4,20,0,0,2,5,1,3,1,3
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend.controller,CollectionController,27,53,5,7,4,11,5,8,1,6
exam-tsdes-frontend,no.kristiania.exam.tsdes,Application,5,3,0,0,2,1,1,1,1,1
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,SignUpController,3,86,2,2,2,27,2,12,0,12
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
exam-tsdes-frontend,no.kristiania.exam.tsdes.frontend,WebSecurityConfig,12,97,0,0,4,27,0,5,0,5
